trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,13,-50.78501578790862,"{0: 5, 1: 2, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,9,-121.43386485415786,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-144.99851475159147,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-71.62545537751163,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-124.69822169743645,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-69.3780051598118,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-59.448809481334436,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-69.36755604917448,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,1,-59.72106726000408,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,3,-9.399384863114578,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-41.20780100107674,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-117.79817326922571,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-19.433275479680354,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,15,3.2394909968886054,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,15,8.391299226376361,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-6.106943124848928,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,2.976561519936836,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,1,-3.697883251794403,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,-27.60983469461816,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,17.611986421242612,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,1,-79.48592419242675,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",30,24,10.976257305470968,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,16,16.42094803893791,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,-33.006504813265515,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,7,-20.59398619756227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,9,1.3693197193791364,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-4.935748728279721,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,15,8.63719545808991,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,3,34.05150007688503,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,-24.158551862270293,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
