trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-103.68086471956896,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",30,2,-138.21812881906612,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.985}",30,0,-127.62575478375024,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-51.156768778026134,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-241.8403164070714,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-93.03318823222304,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",35,17,-58.481087369928446,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.96}",30,8,-120.33273361411447,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.955}",35,0,-178.89858208253077,"{0: 19, 1: 5, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.95}",35,0,-90.81467646193921,"{0: 23, 1: 3, 2: 8, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-22.79102811748959,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.94}",30,0,-160.52975776012474,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-119.14665443084178,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-229.56994805314343,"{0: 13, 1: 7, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-81.52891236318175,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,15,-38.046564285775816,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-43.309368111983055,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-104.33069601651334,"{0: 13, 1: 6, 2: 3, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-135.05100102727135,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-92.88096102744926,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",25,4,-72.00890137814295,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,13,-33.010047426640284,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,-83.10165200718228,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",35,0,-178.30912857027573,"{0: 21, 1: 3, 2: 7, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",25,0,-131.46474237992726,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-55.40809241507192,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-53.395446260803965,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
