trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,2,-29.016649746742505,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,1,-69.70539667624571,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.2104109754714,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.43533902984407,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.39778697203906,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,6,-24.72036569246045,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.03954237594563,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,13,-66.92100177655891,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.07023114627827,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.724106032314,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.69626287489734,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.7342532096691,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,9,-75.84203426271837,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.29459594115764,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.41725760980803,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.43586668614603,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.73702654083037,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,5,-65.8831752018183,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.57640261507626,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,1,-50.13430685246732,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-232.48732044848853,"{0: 13, 1: 5, 2: 8, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.88453960411141,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.88315968541859,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.50266421271684,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.79259940223834,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-205.89424399457047,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-141.080054050731,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-23.31010375132373,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.46174991634867,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.12203924097705,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
